07/25/2020 03:32:34 PM:  * Restarting with stat
07/25/2020 03:32:35 PM:  * Debugger is active!
07/25/2020 03:32:35 PM:  * Debugger PIN: 308-677-615
07/25/2020 03:32:35 PM:  * Running on http://0.0.0.0:3011/ (Press CTRL+C to quit)
07/25/2020 03:32:56 PM: 127.0.0.1 - - [25/Jul/2020 15:32:56] "GET / HTTP/1.1" 200 -
07/25/2020 03:32:57 PM: 127.0.0.1 - - [25/Jul/2020 15:32:57] "GET /static/css/linearicons.css HTTP/1.1" 304 -
07/25/2020 03:32:57 PM: 127.0.0.1 - - [25/Jul/2020 15:32:57] "GET /static/css/magnific-popup.css HTTP/1.1" 304 -
07/25/2020 03:32:57 PM: 127.0.0.1 - - [25/Jul/2020 15:32:57] "GET /static/css/owl.carousel.css HTTP/1.1" 304 -
07/25/2020 03:32:57 PM: 127.0.0.1 - - [25/Jul/2020 15:32:57] "GET /static/css/font-awesome.min.css HTTP/1.1" 304 -
07/25/2020 03:32:57 PM: 127.0.0.1 - - [25/Jul/2020 15:32:57] "GET /static/css/nice-select.css HTTP/1.1" 304 -
07/25/2020 03:32:57 PM: 127.0.0.1 - - [25/Jul/2020 15:32:57] "GET /static/js/easing.min.js HTTP/1.1" 304 -
07/25/2020 03:32:57 PM: 127.0.0.1 - - [25/Jul/2020 15:32:57] "GET /static/css/main.css HTTP/1.1" 304 -
07/25/2020 03:32:57 PM: 127.0.0.1 - - [25/Jul/2020 15:32:57] "GET /static/css/bootstrap.css HTTP/1.1" 304 -
07/25/2020 03:32:57 PM: 127.0.0.1 - - [25/Jul/2020 15:32:57] "GET /static/css/animate.min.css HTTP/1.1" 304 -
07/25/2020 03:32:57 PM: 127.0.0.1 - - [25/Jul/2020 15:32:57] "GET /static/js/jquery.ajaxchimp.min.js HTTP/1.1" 304 -
07/25/2020 03:32:57 PM: 127.0.0.1 - - [25/Jul/2020 15:32:57] "GET /static/js/hoverIntent.js HTTP/1.1" 304 -
07/25/2020 03:32:57 PM: 127.0.0.1 - - [25/Jul/2020 15:32:57] "GET /static/js/owl.carousel.min.js HTTP/1.1" 304 -
07/25/2020 03:32:57 PM: 127.0.0.1 - - [25/Jul/2020 15:32:57] "GET /static/js/vendor/bootstrap.min.js HTTP/1.1" 304 -
